State / Union Territory,Latitude (generated),Longitude (generated)
West Bengal,24.4206,88.0343
Uttarakhand,30.0939,79.325
Uttar Pradesh,27.1861,80.835
Tripura,23.7373,91.6575
Telengana,17.7956,79.0397
Tamil Nadu,10.8327,78.3436
Sikkim,27.6003,88.4524
Rajasthan,26.686,73.8182
Punjab,31.0732,75.6577
Puducherry,11.9246,79.7813
Odisha,20.2057,84.4853
Nagaland,26.1236,94.5493
Mizoram,23.2379,92.8631
Meghalaya,25.5682,91.2546
Manipur,24.7664,93.8647
Maharashtra,18.8493,75.4561
Madhya Pradesh,23.5,78.5
Lakshadweep,8.2968,73.0657
Ladakh,,
Kerala,10.5502,76.4434
Karnataka,15.0527,75.5344
Jharkhand,23.75,85.5
Jammu and Kashmir,34.718,76.8898
Himachal Pradesh,31.8299,77.3506
Haryana,29.3031,76.0522
Gujarat,23,72
Goa,15.3474,74.1033
Delhi,28.6415,77.1259
Dadra and Nagar Haveli and Daman and Diu,,
Chhattisgarh,21.5,82
Chandigarh,30.7308,76.7808
Bihar,25.75,85.75
Assam,26.0667,90.7559
Arunachal Pradesh,28.0762,94.9823
Andhra Pradesh,14.9176,78.7448
Andaman and Nicobar Islands,12.612,92.8317
